Jurisdiction,State,Year,ElectionDate,Office,Winner,IncumbentStatusofWinner,total_cands_with_writein,Numberofrounds,Totalballotscast,Firstroundactivevotes,Finalroundactivevotes,Firstroundvoteforwinner,Firstroundpercentforwinner,Firstroundplaceforwinner,Finalroundvotesforwinner,Finalroundpercentforwinner,Winnersconsensusvalue,WinnersFinalRoundVotesasPe,Fullyrankedballots,Ballotswith2Rankings,BallotsRankingtheWinner,FirstRoundUndervote,FirstRoundOvervotes,pctfirstroundover,TotalBallotswithOvervotes,InactivebyOvervote,InactivebySkippedRankings,InactivebyAbstention,Inactivebyrankinglimit,TotalInactive,Includesduplicaterankings,Includesskippedrankings,TurnoutPercentpercentofregi,RegisteredVotersinJurisdictio,Condorcetwinner,ComeFromBehindWinner,NumberofRankingsPermitted,BallotStyle,BallotMarkingStyle,VotingEquipmentUsed,Linktofullresults,CVRAvailable,Notes,RaceID,AU,female_cands,male_cands,nonbin_cands,gender_miss_cands,black_cands,hisp_cands,mena_cands,aapi_cands,white_cands,other_cands,minority_cands,num_cands_no_writein,female_cands5,male_cands5,nonbin_cands5,gender_miss_cands5,black_cands5,hisp_cands5,mena_cands5,aapi_cands5,white_cands5,other_cands5,minority_cands5,total_cands5,open_seat,allcands_male,allcands_female,cands_mixed_gender,allcands_male5,allcands_female5,cands_mixed_gender5,special_election,month,gen_election,prim_election,level,record available
Alaska,AK,2022,11/8/2022,State Senate A,"Stedman, Bert K.",Incumbent,2,1,14455,12986,12986,8923,0.68712,1,8923,0.68712,.80564,0.68712,4156,4200,10462,1449.0,6.0,0.000415081286752,8.0,0.0,0.0,0.0,0.0,0,84.0,94.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictA,,0,2,0,1,0,0,0,0,1,1,1,2,0,2,0,0,0,0,0,0,1,1,1,2,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 34,"Tomaszewski, Frank J.",OpenSeat,3,3,7693,7382,7213,3611,0.48916,1,4013,0.55636,.66093,0.54362,1386,3654,4894,303.0,7.0,0.0009099181073703,10.0,1.0,0.0,168.0,0.0,169,40.0,46.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict34,,0,3,0,1,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,2,0,0,2,1,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State Senate C,"Stevens, Gary",Incumbent,3,1,15836,14041,14041,7898,0.5625,1,7898,0.5625,.7127,0.5625,3434,6195,10020,1767.0,8.0,0.0005051780752715,23.0,0.0,0.0,0.0,0.0,0,88.0,141.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictC,,0,3,0,1,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,3,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 4,"Hannan, Sara",Incumbent,2,1,7713,6887,6887,5438,0.7896,1,5438,0.7896,.8487,0.7896,1628,1675,5845,812.0,5.0,0.0006482561908466,7.0,0.0,0.0,0.0,0.0,0,19.0,59.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict4,,1,1,0,1,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 20,"Gray, Andrew T.",OpenSeat,4,1,5469,5018,5018,2690,0.53607,1,2690,0.53607,.6098,0.53607,969,2721,3255,437.0,8.0,0.0014627902724447,27.0,0.0,0.0,0.0,0.0,0,40.0,135.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict20,,0,4,0,1,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,3,0,0,3,1,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State Senate M,"Hughes, Shelley",Incumbent,2,1,15591,14861,14861,11258,0.75755,1,11258,0.75755,.82686,0.75755,2730,2895,12288,724.0,4.0,0.0002565582707973,6.0,0.0,0.0,0.0,0.0,0,127.0,100.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictM,,1,1,0,1,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 21,"Mears, Donna C.",OpenSeat,2,1,7313,7022,7022,3579,0.50968,1,3579,0.50968,.60197,0.50968,1556,1632,4227,283.0,6.0,0.000820456720908,6.0,0.0,0.0,0.0,0.0,0,47.0,57.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict21,,1,1,0,1,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 13,"Josephson, Andy",Incumbent,2,1,5790,5539,5539,2909,0.52519,1,2909,0.52519,.62213,0.52519,1320,1386,3446,247.0,3.0,0.0005181347150259,3.0,0.0,0.0,0.0,0.0,0,41.0,48.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict13,,1,1,0,1,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 36,"Cronk, Mike",Incumbent,2,1,7952,7483,7483,4890,0.65348,1,4890,0.65348,.74836,0.65348,1553,1627,5600,455.0,5.0,0.0006287726358149,6.0,0.0,0.0,0.0,0.0,0,59.0,67.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict36,,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 10,"Johnson, Craig W.",OpenSeat,3,1,7153,6815,6815,3505,0.51431,1,3505,0.51431,.66398,0.51431,1383,2788,4537,330.0,3.0,0.0004194044456871,7.0,0.0,0.0,0.0,0.0,0,52.0,55.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict10,,1,2,0,1,0,0,0,0,3,0,0,3,1,2,0,0,0,0,0,0,3,0,0,3,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
