,Unnamed: 0.1,Unnamed: 0,filename,null_gamma,null_gamma_recalculated,complete_gamma,gamma,choices,candidates,level,partisan,type,irv_winner,condorcet_winner,plurality_winner,approval_winner,median_voter_preference,median_voter_preference_position,median_voter_position,irv_median_voter_distance,condorcet_median_voter_distance,median_voter_preference_distance,bimodality,partisan2,diff,linearvotersfailure,mirror
454,454,92,NewYorkCity_06222021_CONCouncilMember19thCouncilDistrict.csv,1,1,,1,3,2,LOCAL,CP,R,John-Alexander Sakelos,John-Alexander Sakelos,John-Alexander Sakelos,John-Alexander Sakelos,Dawn A. Anatra,0,0.443535773,0.556464227,0.556464227,0,4.246498059,,[],no,
5,10,495,NewYorkCity_06222021_DEMCouncilMember27thCouncilDistrict.csv,0.136963037,0.127072927,0.222546598,0.48863858,5,12,LOCAL,DP,R,Nantasha M. Williams,Nantasha M. Williams,Nantasha M. Williams,Nantasha M. Williams,Marie M. Adam-Ovide,0.391162702,0.443535773,0.054423973,0.054423973,0.009847187,2.544507052,,[],no,
7,7,503,NewYorkCity_06222021_DEMCouncilMember26thCouncilDistrict.csv,0.119380619,0.119480519,0.235185334,0.47999999,5,15,LOCAL,DP,R,Julie Won,Julie Won,Julie Won,Julie Won,Brent O'Leary,0.468332762,0.443535773,0.069082182,0.069082182,0.007974289,2.692440813,,[],no,
12,25,491,NewYorkCity_06222021_DEMCouncilMember40thCouncilDistrict.csv,0.136063936,0.134665335,0.251026893,0.60243279,5,11,LOCAL,DP,R,Rita C. Joseph,Rita C. Joseph,Rita C. Joseph,Rita C. Joseph,Kenya Handy-Hilliard,0.425918521,0.443535773,0.212378118,0.212378118,0.068476066,2.587657847,,[],no,
15,49,378,NewYorkCity_06222021_DEMBoroughPresidentRichmond.csv,0.3251,0.258,0.261158523,0.68507642,5,5,LOCAL,DP,E,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,Mark S. Murphy,0.543823793,0.443535773,0.10028802,0.10028802,0,2.974382206,,[],no,
16,15,498,NewYorkCity_06222021_DEMCouncilMember9thCouncilDistrict.csv,0.1239,0.1296,0.262219738,0.52576035,5,13,LOCAL,DP,R,Kristin Richardson Jordan,Kristin Richardson Jordan,Bill Perkins,Bill Perkins,William A. Allen,0.456724128,0.443535773,0.085430103,0.085430103,0.072241746,2.602276873,,"['IRV', 'Condorcet']",yes,
20,79,380,NewYorkCity_06222021_DEMCouncilMember21stCouncilDistrict.csv,0.3084,0.2567,0.275210084,0.73592633,5,5,LOCAL,DP,R,Francisco P. Moya,Francisco P. Moya,Francisco P. Moya,Francisco P. Moya,David Aiken,0.550287394,0.443535773,0.556464227,0.556464227,0,4.113425839,,[],no,
21,22,461,NewYorkCity_06222021_DEMCouncilMember18thCouncilDistrict.csv,0.1748,0.16,0.275909489,0.58114177,5,8,LOCAL,DP,R,Amanda Farias,Amanda Farias,Amanda Farias,Amanda Farias,Darlene Jackson,0.461072291,0.443535773,0.088271408,0.088271408,0.070734888,3.152060056,,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,
23,16,473,NewYorkCity_06222021_DEMCouncilMember49thCouncilDistrict.csv,0.15035035,0.148748749,0.278923875,0.54372817,5,9,LOCAL,DP,R,Kamillah Hanks,Kamillah Hanks,Kamillah Hanks,Kamillah Hanks,Selina Grey,0.416428869,0.443535773,0.080075175,0.080075175,0.024535932,2.741977292,,[],no,
25,6,499,NewYorkCity_06222021_DEMMayorCitywide.csv,0.128957916,0.124448898,0.281118641,0.46266127,5,13,LOCAL,DP,E,Eric L. Adams,Eric L. Adams,Eric L. Adams,Eric L. Adams,Kathryn A. Garcia,0.451186599,0.443535773,0.142130279,0.142130279,0.085003331,2.407091476,,[],no,
