filename,null_gamma,gamma,choices,candidates,level,partisan,type,irv1,irv2,condorcet1,plurality1,approval1irv2,condorcet2,plurality2,approval2,approval1,polarization,median_voter_distance,median_voter_preference_distance,bimodality,partisan2,diff,linearvotersfailure,mirror
Alaska_11052024_StateHouseD17.csv,1,1,2,1,STATE,YES,R,,,,,,,,,,,,,,,,,
Alaska_11052024_StateHouseD2.csv,1,1,2,1,STATE,YES,R,,,,,,,,,,,,,,,,,
Alaska_11052024_StateHouseD24.csv,1,1,2,1,STATE,YES,R,,,,,,,,,,,,,,,,,
Alaska_11052024_StateHouseD25.csv,1,1,2,1,STATE,YES,R,,,,,,,,,,,,,,,,,
Alaska_11052024_StateHouseD26.csv,1,1,2,1,STATE,YES,R,,,,,,,,,,,,,,,,,
Alaska_11052024_StateHouseD29.csv,1,1,2,1,STATE,YES,R,,,,,,,,,,,,,,,,,
Alaska_11052024_StateHouseD3.csv,1,1,2,1,STATE,YES,R,,,,,,,,,,,,,,,,,
Alaska_11052024_StateHouseD33.csv,1,1,2,1,STATE,YES,R,,,,,,,,,,,,,,,,,
Alaska_11052024_StateHouseD4.csv,1,1,2,1,STATE,YES,R,,,,,,,,,,,,,,,,,
Alaska_11052024_StateSenateB.csv,1,1,2,1,STATE,YES,R,,,,,,,,,,,,,,,,,
Alaska_11052024_StateSenateT.csv,1,1,2,1,STATE,YES,R,,,,,,,,,,,,,,,,,
SanFrancisco_11052024_Treasurer.csv,1,1,3,1,LOCAL,NO,O,,,,,,,,,,,,,,,,,
NewYorkCity_06222021_REPBoroughPresidentQueens.csv,1,1,3,2,LOCAL,RP,E,219566,219566,219566,219566,,219566,219566,219566,219566,,,,,,[],no,
SanFrancisco_11082016_BoardofSupervisorsDistrict3.csv,1,1,3,2,LOCAL,NO,B,AARON PESKIN,AARON PESKIN,AARON PESKIN,AARON PESKIN,,AARON PESKIN,AARON PESKIN,AARON PESKIN,AARON PESKIN,0.995996,0.10587999,0,,0,[],no,
Oakland_11042014_SchoolDirectorDistrict2.csv,1,1,3,2,LOCAL,NO,B,AIMEE ENG,AIMEE ENG,AIMEE ENG,AIMEE ENG,,AIMEE ENG,AIMEE ENG,AIMEE ENG,AIMEE ENG,0.994995,0.10191706,0,,0,[],no,
Alaska_11082022_HouseDistrict23.csv,1,1,3,2,STATE,YES,R,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie",,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie",0.995996,0.24003518,0,,1,[],no,
Minneapolis_11022021_CityCouncilWard8.csv,1,1,3,2,LOCAL,NO,R,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,,0,0,,0,[],no,
NewYorkCity_06222021_REPCouncilMember15thCouncilDistrict.csv,1,1,3,2,LOCAL,RP,R,Ariel Rivera-Diaz,Ariel Rivera-Diaz,Ariel Rivera-Diaz,Ariel Rivera-Diaz,,Ariel Rivera-Diaz,Ariel Rivera-Diaz,Ariel Rivera-Diaz,Ariel Rivera-Diaz,0.993994,0.42424244,0,,,[],no,
Alaska_11082022_HouseDistrict16.csv,1,1,3,2,STATE,YES,R,"Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""",,"Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""",0.997998,0.27449888,0,,1,[],no,
Oakland_11032020_CityAttorneyOaklandRCV.csv,1,1,5,2,LOCAL,NO,O,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,0.991992,0.20310512,0,,0,[],no,
Oakland_11062012_CityAttorney.csv,1,1,3,2,LOCAL,NO,O,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,0.993994,0.17668723,0,,0,[],no,
Minneapolis_11052013_PRBoardDistrict6.csv,1,1,3,2,LOCAL,NO,B,BRAD BOURN,BRAD BOURN,BRAD BOURN,BRAD BOURN,,BRAD BOURN,BRAD BOURN,BRAD BOURN,BRAD BOURN,0.994995,0.2349243,0,,0,[],no,
Minnetonka_11022021_Mayor.csv,1,1,3,2,LOCAL,NO,E,Brad Wiersum,Brad Wiersum,Brad Wiersum,Brad Wiersum,,Brad Wiersum,Brad Wiersum,Brad Wiersum,Brad Wiersum,0.996997,0.025932202,0,,0,[],no,
Oakland_11042014_CityAuditor.csv,1,1,3,2,LOCAL,NO,O,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS,,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS,0.993994,0.15713413,0,,0,[],no,
SanLeandro_11032020_MemberCityCouncilDist2SanLeandroRCV.csv,1,1,5,2,LOCAL,NO,R,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO,,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO,0.98999,0.44465792,0,,0,[],no,
Minneapolis_11062009_Ward2CityCouncil.csv,1,1,3,2,LOCAL,NO,R,Cam Gordon,Cam Gordon,Cam Gordon,Cam Gordon,,Cam Gordon,Cam Gordon,Cam Gordon,Cam Gordon,,0,0,,0,[],no,
NewYorkCity_06222021_DEMCouncilMember2ndCouncilDistrict.csv,1,1,3,2,LOCAL,DP,R,Carlina Rivera,Carlina Rivera,Carlina Rivera,Carlina Rivera,,Carlina Rivera,Carlina Rivera,Carlina Rivera,Carlina Rivera,0.995996,0.04725723,0,,,[],no,
SanFrancisco_11062018_AssessorRecorder.csv,1,1,3,2,LOCAL,NO,O,CARMEN CHU,CARMEN CHU,CARMEN CHU,CARMEN CHU,,CARMEN CHU,CARMEN CHU,CARMEN CHU,CARMEN CHU,0.995996,0.10466687,0,,0,[],no,
Alaska_11082022_SenateDistrictH.csv,1,1,3,2,STATE,YES,S,"Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt",,"Claman, Matt","Claman, Matt","Costello, Mia","Costello, Mia",0.997998,0.42703173,0,,1,[],no,
SanLeandro_11062018_CountyCouncilDistrict5.csv,1,1,3,2,LOCAL,NO,R,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ,,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ,0.992993,0.23807955,0,,0,[],no,
Oakland_11022010_CityAuditor.csv,1,1,3,2,LOCAL,NO,O,COURTNEY RUBY,COURTNEY RUBY,COURTNEY RUBY,COURTNEY RUBY,,COURTNEY RUBY,COURTNEY RUBY,COURTNEY RUBY,COURTNEY RUBY,0.991992,0.26797071,0,,0,[],no,
Oakland_11062018_CityAuditor.csv,1,1,3,2,LOCAL,NO,O,COURTNEY RUBY,COURTNEY RUBY,COURTNEY RUBY,COURTNEY RUBY,,COURTNEY RUBY,COURTNEY RUBY,COURTNEY RUBY,COURTNEY RUBY,0.993994,0.17988145,0,,0,[],no,
Alaska_11082022_HouseDistrict36.csv,1,1,3,2,STATE,YES,R,"Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike",,"Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike",0.997998,0,0,,1,[],no,
NewYorkCity_06222021_REPMayorCitywide.csv,1,1,3,2,LOCAL,RP,E,Curtis A. Sliwa,Curtis A. Sliwa,Curtis A. Sliwa,Curtis A. Sliwa,,Curtis A. Sliwa,Curtis A. Sliwa,Curtis A. Sliwa,Curtis A. Sliwa,0.993994,0.19758105,0,,,[],no,
Oakland_11082016_CityCouncilDistrict1.csv,1,1,3,2,LOCAL,NO,R,DAN KALB,DAN KALB,DAN KALB,DAN KALB,,DAN KALB,DAN KALB,DAN KALB,DAN KALB,0.996997,0,0,,0,[],no,
NewYorkCity_06222021_DEMCouncilMember41stCouncilDistrict.csv,1,1,3,2,LOCAL,DP,R,Darlene Mealy,Darlene Mealy,Darlene Mealy,Darlene Mealy,,Darlene Mealy,Darlene Mealy,Darlene Mealy,Darlene Mealy,0.992993,0.37213615,0,,,[],no,
SanLeandro_11082016_CountyCouncilDistrict2.csv,1,1,3,2,LOCAL,NO,R,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ,,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ,0.992993,0.43029696,0,,0,[],no,
Minneapolis_11022021_ParkBoardDistrict4.csv,1,1,3,2,LOCAL,NO,B,Elizabeth Shaffer,Elizabeth Shaffer,Elizabeth Shaffer,Elizabeth Shaffer,,Elizabeth Shaffer,Elizabeth Shaffer,Elizabeth Shaffer,Elizabeth Shaffer,0.995996,0.17776999,0,,0,[],no,
Alaska_11082022_HouseDistrict17.csv,1,1,3,2,STATE,YES,R,"Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""",,"Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""",0.992993,0.38185257,0,,1,[],no,
Alaska_11082022_HouseDistrict39.csv,1,1,3,2,STATE,YES,R,"Foster, Neal W.","Foster, Neal W.","Foster, Neal W.","Foster, Neal W.",,"Foster, Neal W.","Foster, Neal W.","Foster, Neal W.","Foster, Neal W.",0.992993,0.47649795,0,,1,[],no,
SanLeandro_11032020_MemberCityCouncilDist4SanLeandroRCV.csv,1,1,5,2,LOCAL,NO,R,FRED SIMON,FRED SIMON,FRED SIMON,FRED SIMON,,FRED SIMON,FRED SIMON,FRED SIMON,FRED SIMON,0.991992,0.26770237,0,,0,[],no,
Alaska_11082022_HouseDistrict14.csv,1,1,3,2,STATE,YES,R,"Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.",,"Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.",0.997998,0,0,,1,[],no,
Oakland_11022010_SchoolDirectorDistrict4.csv,1,1,3,2,LOCAL,NO,B,GARY D. YEE,GARY D. YEE,GARY D. YEE,GARY D. YEE,,GARY D. YEE,GARY D. YEE,GARY D. YEE,GARY D. YEE,0.992993,0.24015805,0,,0,[],no,
Oakland_11062018_SchoolDirectorDistrict4.csv,1,1,3,2,LOCAL,NO,B,GARY D. YEE,GARY D. YEE,GARY D. YEE,GARY D. YEE,,GARY D. YEE,GARY D. YEE,GARY D. YEE,GARY D. YEE,0.994995,0.32448834,0,,0,[],no,
Alaska_11082022_SenateDistrictG.csv,1,1,3,2,STATE,YES,S,"Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi",,"Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi",0.997998,0.27235401,0,,1,[],no,
Alaska_11082022_HouseDistrict4.csv,1,1,3,2,STATE,YES,R,"Hannan, Sara","Hannan, Sara","Hannan, Sara","Hannan, Sara",,"Hannan, Sara","Hannan, Sara","Hannan, Sara","Hannan, Sara",0.997998,0,0,,1,[],no,
