Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,filename,diff,linear voters failure,gamma,mirror,#candidates,level,partisan,type,IRV1,IRV2,Condorcet1,Plurality1,Approval1IRV2,Condorcet2,Plurality2,Approval2,Approval1,polarization,median_voter_distance,median_voter_preference_distance,bimodality
3,3,3,Alaska_11082022_HouseDistrict1.csv,[],no,1,,2,STATE,YES,R,"Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""",,"Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""",0.996996997,0.415851271,0,
6,6,6,Alaska_11082022_HouseDistrict12.csv,[],no,1,,2,STATE,YES,R,"Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.",,"Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.",0.996996997,0.21355186,0,
7,7,7,Alaska_11082022_HouseDistrict13.csv,[],no,1,,2,STATE,YES,R,"Josephson, Andy","Josephson, Andy","Josephson, Andy","Josephson, Andy",,"Josephson, Andy","Josephson, Andy","Josephson, Andy","Josephson, Andy",0.996996997,0.409323117,0,
8,8,8,Alaska_11082022_HouseDistrict14.csv,[],no,1,,2,STATE,YES,R,"Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.",,"Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.",0.997997998,0,0,
10,10,10,Alaska_11082022_HouseDistrict16.csv,[],no,1,,2,STATE,YES,R,"Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""",,"Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""",0.997997998,0.274498886,0,
11,11,11,Alaska_11082022_HouseDistrict17.csv,[],no,1,,2,STATE,YES,R,"Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""",,"Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""",0.992992993,0.381852553,0,
13,13,13,Alaska_11082022_HouseDistrict19.csv,[],no,1,,2,STATE,YES,R,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.",,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.",0.993993994,0.168496622,0,
14,14,14,Alaska_11082022_HouseDistrict2.csv,[],no,1,,2,STATE,YES,R,"Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca",,"Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca",0.997997998,0.190669371,0,
16,16,16,Alaska_11082022_HouseDistrict21.csv,[],no,1,,2,STATE,YES,R,"Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.",,"Mears, Donna C.","Mears, Donna C.","Wolfe, Forrest M.","Wolfe, Forrest M.",0.997997998,0.458516483,0,
17,17,17,Alaska_11082022_HouseDistrict22.csv,[],no,1,,2,STATE,YES,R,"Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.",,"Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.",0.996996997,0.461797752,0,
18,18,18,Alaska_11082022_HouseDistrict23.csv,[],no,1,,2,STATE,YES,R,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie",,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie",0.995995996,0.24003517,0,
20,20,20,Alaska_11082022_HouseDistrict25.csv,[],no,1,,2,STATE,YES,R,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.",,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.",0.996996997,0,0,
