,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11
0,Joseph R. Biden,2.4716806505014883,8585,0.588699170266749,4404,1437,2744,-1,-1,-1,-1,-1,-1,-1,-1
1,Michael R.,0.0,262,0.017966124939998628,44,54,164,-1,-1,-1,-1,-1,-1,-1,-1
2,Bernie Sanders,2.2856229141084,4054,0.2779949255982994,1087,927,2040,-1,-1,-1,-1,-1,-1,-1,-1
3,Elizabeth Warren,2.9912679540047025,738,0.05060687101419461,46,101,591,-1,-1,-1,-1,-1,-1,-1,-1
4,Andrew Yang,2.926276592055478,186,0.012754577247479942,27,15,144,-1,-1,-1,-1,-1,-1,-1,-1
5,Uncommitted,2.526671997035101,106,0.007268737571144483,83,6,17,-1,-1,-1,-1,-1,-1,-1,-1
6,Tulsi Gabbard,2.7837508935074027,446,0.030583556195570183,137,66,243,-1,-1,-1,-1,-1,-1,-1,-1
7,Pete Buttigieg,2.9570322336869608,153,0.010491668380991566,13,17,123,-1,-1,-1,-1,-1,-1,-1,-1
8,Tom Steyer,1.709833663751933,15,0.0010285949393128986,1,4,10,-1,-1,-1,-1,-1,-1,-1,-1
9,Amy Klobuchar,3.107044782233484,34,0.0023314818624425703,2,7,25,-1,-1,-1,-1,-1,-1,-1,-1
10,Deval Patrick,10.0,4,0.00027429198381677297,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1
