,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11
0,Joseph R. Biden,2.533292021231664,19593,0.5601841262580055,9778,3359,6456,-1,-1,-1,-1,-1,-1,-1,-1
1,Michael R.,0.0,460,0.013151875571820676,78,80,302,-1,-1,-1,-1,-1,-1,-1,-1
2,Bernie Sanders,2.0905346318518423,10777,0.308125571820677,3045,2433,5299,-1,-1,-1,-1,-1,-1,-1,-1
3,Elizabeth Warren,2.8077160701372934,1689,0.048290256175663314,87,219,1383,-1,-1,-1,-1,-1,-1,-1,-1
4,Andrew Yang,2.6359065742661842,340,0.009720951509606588,42,39,259,-1,-1,-1,-1,-1,-1,-1,-1
5,Uncommitted,1.8599417955612108,291,0.008319990850869168,237,14,40,-1,-1,-1,-1,-1,-1,-1,-1
6,Tulsi Gabbard,2.4157596862869823,1377,0.03936985361390668,435,216,726,-1,-1,-1,-1,-1,-1,-1,-1
7,Pete Buttigieg,2.8908304090535504,311,0.00889181152790485,28,38,245,-1,-1,-1,-1,-1,-1,-1,-1
8,Tom Steyer,1.2269499115378713,34,0.0009720951509606588,2,8,24,-1,-1,-1,-1,-1,-1,-1,-1
9,Amy Klobuchar,2.891831577983261,93,0.0026589661482159196,7,12,74,-1,-1,-1,-1,-1,-1,-1,-1
10,Deval Patrick,10.0,11,0.0003145013723696249,1,1,9,-1,-1,-1,-1,-1,-1,-1,-1
