,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10
0,MIKE A TELLEZ,0.9674756521405534,1618,0.11509460805235452,141,99,249,123,117,33,18,30,68,740
1,BEV COURTNEY,0.0,502,0.03570920472328923,42,59,92,46,34,10,8,7,18,186
2,JESUSITA DOLORES LUCERO,1.9628361128730574,428,0.030445298050931855,52,36,81,47,27,13,5,4,14,149
3,WILLIAM BILL MATTIACE,7.358979060745003,2733,0.19440887750746905,605,411,473,195,134,42,20,23,79,751
4,ISABELLA SOLIS,4.436755595635161,671,0.04773082942097027,71,71,122,47,50,14,9,11,29,247
5,EUGENIA (GINA) MONTOYA ORTEGA,6.174091877229501,1157,0.0823018921610471,203,125,206,98,47,22,19,17,32,388
6,JORGE SANCHEZ,5.01208237469376,218,0.015507184521269028,36,18,33,7,13,3,2,1,11,94
7,ALEXANDER PAIGE FRESQUEZ,2.742684019982338,109,0.007753592260634514,6,9,24,7,9,4,1,2,5,42
8,GREGORY Z SMITH,9.0,1440,0.10243277848911651,181,304,362,127,82,29,12,13,31,299
9,KEN MIYAGISHIMA,8.79120147874962,5182,0.36861573481291793,1443,905,999,339,170,65,34,54,122,1051
