,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12
0,AK Hassan,2.6051623491122524,1066,0.1379221115280114,524,90,452,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,AJ Awed,3.724707582500889,1723,0.2229266399275456,978,145,600,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,Saciido Shaie,0.0,333,0.0430844869970242,44,32,257,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,Jamal Osman,4.623996970823645,2131,0.27571484021218784,1578,121,432,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,Mohamoud Hassan,7.537550726359497,135,0.01746668391771251,34,13,88,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,Abdirizak Bihi,0.6949149593540892,1002,0.1296416095225773,647,84,271,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,Alex Palacios,4.2389347743481025,384,0.04968301203260447,39,38,307,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,Michael P. Dougherty,6.102158351285514,392,0.05071807478328374,103,52,237,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,Suud Olat,11.0,62,0.008021736317764264,12,5,45,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,Nebiha Mohammed,5.0153284630585935,261,0.033768922240910854,42,25,194,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,Sara Mae Engberg,7.092010353476741,119,0.01539655841635399,16,13,90,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,Joshua Scheunemann,10.325455743345913,121,0.015655324104023805,24,19,78,-1,-1,-1,-1,-1,-1,-1,-1,-1
