,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11
0,R.T. Rybak,1.4019679259761721,33271,0.738354674774195,20408,4333,8530,-1,-1,-1,-1,-1,-1,-1,-1
1,Papa John Kolstad,2.281475637868358,4998,0.11091631344177892,1950,1140,1908,-1,-1,-1,-1,-1,-1,-1,-1
2,Tom Fiske,2.0765547244967792,651,0.014447082843256919,81,160,410,-1,-1,-1,-1,-1,-1,-1,-1
3,James R. Everett,0.47597608387883655,361,0.008011362375446618,76,93,192,-1,-1,-1,-1,-1,-1,-1,-1
4,Joey Lombard,3.20754523615274,454,0.010075231353054747,109,110,235,-1,-1,-1,-1,-1,-1,-1,-1
5,Al Flowers,0.0,1797,0.0398792747608797,446,353,998,-1,-1,-1,-1,-1,-1,-1,-1
6,Dick Franson,1.6234596228611486,1589,0.03526330973569162,491,315,783,-1,-1,-1,-1,-1,-1,-1,-1
7,Christopher Clark,2.5553270650029436,1340,0.029737466989192426,566,277,497,-1,-1,-1,-1,-1,-1,-1,-1
8,Bob Carney Jr.,3.153823051802991,228,0.0050598078160715475,87,32,109,-1,-1,-1,-1,-1,-1,-1,-1
9,Bill McGaughey,2.904345622357583,234,0.005192960653336588,62,34,138,-1,-1,-1,-1,-1,-1,-1,-1
10,John Charles Wilson,10.0,138,0.0030625152570959366,37,12,89,-1,-1,-1,-1,-1,-1,-1,-1
