,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18
0,Jacob Frey,8.244010162142182,26124,0.2501460238425815,4672,4379,17073,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Nekima Levy-Pounds,7.730413669144274,15718,0.15050509886532293,1093,1899,12726,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,Raymond Dehn,8.244260740472384,18104,0.1733518456456169,833,1934,15337,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,Tom Hoch,8.243604404185639,20131,0.192761047541533,2886,3855,13390,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,Betsy Hodges,8.243804648596253,18921,0.18117489347440993,3223,2588,13110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,Aswar Rahman,8.243872036905321,756,0.007238952458466989,152,89,515,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,Ronald Lischeid,8.24333906737558,325,0.0031119835304256236,84,38,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,David Rosenfeld,8.243607736853054,480,0.004596160291090152,73,55,352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,Al Flowers,8.244292270958026,713,0.00682721309905683,146,112,455,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,Captain Jack Sparrow,8.243651527209867,443,0.004241872935318619,90,35,318,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,Gregg A. Iverson,8.244104886776553,337,0.0032268875377028773,80,39,218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,Charlie Gers,8.24368324490065,1238,0.011854263417436683,356,216,666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,Troy Benjegerdes,8.242955110502615,185,0.0017714367788576628,42,18,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,L.A. Nik,8.243506055307599,616,0.005898405706899028,203,84,329,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,Ian Simpson,8.243169615104977,119,0.0011394647388327669,25,10,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,David John Wilson,8.243665196165407,224,0.0021448748025087376,68,22,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,Theron Preston Washington,17.0,-1,-9.575333939771149e-06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,Christopher Zimmerman,0.0,1,9.575333939771149e-06,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
