,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12
0,Robert E. Cornegy Jr.,3.6956667512631,55363,0.19128550994036472,18035,13571,8386,2753,12618,-1,-1,-1,-1,-1,-1,-1
1,Jo Anne Simon,4.851277408241085,51816,0.1790302184323454,17002,11074,7765,3539,12436,-1,-1,-1,-1,-1,-1,-1
2,Robert A. Elstein,11.0,6868,0.023729727115048407,2681,1076,803,422,1886,-1,-1,-1,-1,-1,-1,-1
3,Antonio Reynoso,4.443855215727284,80936,0.27964315576347665,25710,18620,14067,5357,17182,-1,-1,-1,-1,-1,-1,-1
4,Pearlene S. Fields,8.121932782727404,5085,0.017569257772280307,1194,557,621,462,2251,-1,-1,-1,-1,-1,-1,-1
5,Kim Council,5.393391880969037,16199,0.05596940150504792,4165,2306,2236,1383,6109,-1,-1,-1,-1,-1,-1,-1
6,Lamor Miller-Whitehead,3.017089009912942,4104,0.014179790343645698,1434,498,385,281,1506,-1,-1,-1,-1,-1,-1,-1
7,Anthony T. Jones,0.0,8796,0.03039118807570847,3261,1025,776,499,3235,-1,-1,-1,-1,-1,-1,-1
8,Khari O. Edwards,5.612680280801603,18204,0.06289690629038165,5831,2977,2267,1135,5994,-1,-1,-1,-1,-1,-1,-1
9,Trisha N. Ocona,6.721385548603017,8747,0.03022188746000705,2669,939,911,663,3565,-1,-1,-1,-1,-1,-1,-1
10,Mathieu Eugene,2.1866242715137236,23201,0.08016211397732063,9727,2606,1775,1121,7972,-1,-1,-1,-1,-1,-1,-1
11,Robert Ramos Jr.,0.3202267493407096,10107,0.03492084332437307,3141,1414,924,571,4057,-1,-1,-1,-1,-1,-1,-1
