,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10
0,Brad Lander,3.3231078363991635,268317,0.3089173954490819,90049,56976,44976,21205,55111,-1,-1,-1,-1,-1
1,Brian A. Benjamin,0.0,66514,0.07657856804041577,16716,11202,10235,6109,22252,-1,-1,-1,-1,-1
2,Corey D. Johnson,3.7916586428496455,195451,0.22502567432521425,65621,37081,24480,12763,55506,-1,-1,-1,-1,-1
3,Kevin S. Parker,1.4976387021480266,49818,0.057356212265649825,17658,7508,5611,3138,15903,-1,-1,-1,-1,-1
4,Reshma Patel,5.440787436036904,45780,0.05270720216631437,12199,7173,6892,3959,15557,-1,-1,-1,-1,-1
5,Michelle Caruso-Cabrera,4.664062980607417,117383,0.13514481240472867,38345,16871,12809,7965,41393,-1,-1,-1,-1,-1
6,Alex Pan,9.0,24430,0.028126626232482743,11142,2836,1971,1334,7147,-1,-1,-1,-1,-1
7,David I. Weprin,2.559899428936402,62842,0.07235093924280313,21401,12653,12341,4269,12178,-1,-1,-1,-1,-1
8,Zach Iscol,6.027099079665664,27921,0.03214586700929802,7366,4890,4681,2988,7996,-1,-1,-1,-1,-1
9,Terri Liftin,8.790452192456632,10116,0.011646702864011274,2592,1412,1556,961,3595,-1,-1,-1,-1,-1
