,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15
0,Steven B. Raga,11.033143833234945,548,0.030571827057182706,117,53,58,59,261,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Ebony R. Young,4.269138816071704,1150,0.06415620641562064,277,132,160,82,499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,Julie Won,7.176651375750732,3316,0.18499302649930266,522,427,447,300,1620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,Denise M. Keehan-Smith,8.8352664601073,1228,0.06850767085076709,321,221,171,102,413,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,Badrun Khan,4.9526008043928424,1044,0.058242677824267786,246,152,111,68,467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,Glennis E. Gomez,12.652572398761103,626,0.03492329149232915,167,78,64,36,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,Brent O'Leary,6.556658661341211,1754,0.09785216178521618,395,231,232,183,713,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,Emily E. Sharpe,8.419710443574775,631,0.03520223152022315,116,51,85,65,314,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,Julia L. Forman,9.174555634508557,1520,0.08479776847977685,281,147,154,146,792,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,Amit S. Bagga,7.288291419692241,3142,0.17528591352859135,392,385,432,330,1603,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,Sultan Al Maruf,0.0,299,0.016680613668061367,52,51,45,19,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,Hailie Kim,6.688804418732309,916,0.05110181311018131,100,123,115,85,493,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,Jesse Laymon,9.779535689386043,573,0.031966527196652716,80,64,68,50,311,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,Jonathan Bailey,7.83474888118893,805,0.04490934449093445,86,55,102,91,471,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,Lorenzo Brea,14.0,373,0.020808926080892607,125,41,35,26,146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
