,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11
0,Rita C. Joseph,6.559138916438615,5659,0.25307454943875496,1195,972,996,681,1815,-1,-1,-1,-1,-1,-1
1,Kenya Handy-Hilliard,4.259185205497039,4352,0.19462456956307858,1001,763,683,464,1441,-1,-1,-1,-1,-1,-1
2,Cecilia Cortez,4.735401653498849,1653,0.07392334868744689,516,229,203,115,590,-1,-1,-1,-1,-1,-1
3,Victor Jordan,0.0,348,0.01556281024998882,83,51,35,34,145,-1,-1,-1,-1,-1,-1
4,Edwin K. Raymond,5.874378269542606,1861,0.08322525826215285,391,290,289,181,710,-1,-1,-1,-1,-1,-1
5,Josue Pierre,6.0585045356969855,4502,0.20133267742945307,1282,863,567,336,1454,-1,-1,-1,-1,-1,-1
6,Maxi Eugene,5.180767757155575,1060,0.04740396225571307,453,146,88,41,332,-1,-1,-1,-1,-1,-1
7,Vivia M. Morgan,3.3715035543854337,414,0.018514377711193596,105,45,48,28,188,-1,-1,-1,-1,-1,-1
8,John Williams,1.5890918514604724,663,0.02964983676937525,237,76,51,32,267,-1,-1,-1,-1,-1,-1
9,Harriet L. Hines,7.291698954084812,716,0.0320200348821609,164,86,91,58,317,-1,-1,-1,-1,-1,-1
10,Blake Morris,10.0,1133,0.05066857475068199,312,198,177,109,337,-1,-1,-1,-1,-1,-1
