,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12
0,Luis Tejada,8.124352708184666,2155,0.09283191177737572,1055,264,175,117,544,-1,-1,-1,-1,-1,-1,-1
1,Carmen R. Quinones,11.0,748,0.03222193503920048,222,103,95,54,274,-1,-1,-1,-1,-1,-1,-1
2,Stacy R. Lynch,5.328312806640262,2409,0.10377358490566038,481,342,368,249,969,-1,-1,-1,-1,-1,-1,-1
3,Keith L. Harris,2.9194987440601237,1151,0.049582148703368654,395,158,145,76,377,-1,-1,-1,-1,-1,-1,-1
4,Maria Ordonez,6.881879315592841,2614,0.11260446282415784,463,394,398,294,1065,-1,-1,-1,-1,-1,-1,-1
5,Daniel M. Cohen,6.197629969985623,2587,0.11144137158611182,627,445,440,299,776,-1,-1,-1,-1,-1,-1,-1
6,Raymond Sanchez Jr.,4.787584999875918,497,0.021409494270698715,121,56,78,28,214,-1,-1,-1,-1,-1,-1,-1
7,Miguel Estrella,0.0,789,0.03398811062289998,214,83,67,61,364,-1,-1,-1,-1,-1,-1,-1
8,Corey Ortega,1.9628506267847357,961,0.04139743258378565,213,123,127,89,409,-1,-1,-1,-1,-1,-1,-1
9,Shaun Abreu,6.2627681728834235,6229,0.26832945636253985,1721,1022,920,529,2037,-1,-1,-1,-1,-1,-1,-1
10,Lena Melendez,9.870801490625308,396,0.01705867149134143,95,52,55,50,144,-1,-1,-1,-1,-1,-1,-1
11,Marti Gould  Allen-Cummings,7.553185979207402,2678,0.11536141983285948,457,453,424,270,1074,-1,-1,-1,-1,-1,-1,-1
