,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13
0,Bill Perkins,3.831694477253391,5430,0.21145683243116944,1932,706,500,308,1984,-1,-1,-1,-1,-1,-1,-1,-1
1,William A. Allen,5.480689537107271,1645,0.06406012695198411,401,199,212,148,685,-1,-1,-1,-1,-1,-1,-1,-1
2,Bernadette McNear,12.0,337,0.013123564001713462,68,34,28,25,182,-1,-1,-1,-1,-1,-1,-1,-1
3,Keith Taylor,0.0,1438,0.05599906538416605,318,199,193,124,604,-1,-1,-1,-1,-1,-1,-1,-1
4,Athena Moore,6.009126791480643,2814,0.10958370653062814,429,352,418,299,1316,-1,-1,-1,-1,-1,-1,-1,-1
5,Billy Council,2.178007558875228,736,0.028661552241130886,182,104,83,53,314,-1,-1,-1,-1,-1,-1,-1,-1
6,Pierre A. Gooding,1.0397473028860609,740,0.028817321546789204,141,82,75,59,383,-1,-1,-1,-1,-1,-1,-1,-1
7,Cordell Cleare,8.102638072079653,2550,0.09930293235717902,507,394,373,229,1047,-1,-1,-1,-1,-1,-1,-1,-1
8,Kristin Richardson Jordan,6.347590511545641,4883,0.19015537988239417,961,885,717,407,1913,-1,-1,-1,-1,-1,-1,-1,-1
9,Sheba T. Simpson-Amsterdam,9.794407237622588,590,0.022975972584602204,100,58,74,43,315,-1,-1,-1,-1,-1,-1,-1,-1
10,Ruth L. McDaniels,7.451914345292762,940,0.03660578682970521,222,107,110,78,423,-1,-1,-1,-1,-1,-1,-1,-1
11,Joshua Albert Clennon,4.220019549074061,1390,0.05412983371626621,253,176,225,149,587,-1,-1,-1,-1,-1,-1,-1,-1
12,Mario Rosser,4.774102756511695,2186,0.0851279255422719,449,319,286,208,924,-1,-1,-1,-1,-1,-1,-1,-1
