,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13
0,Eric L. Adams,7.027992627336018,289986,0.3071036503678538,64511,37123,41605,27496,119251,-1,-1,-1,-1,-1,-1,-1,-1
1,Maya D. Wiley,5.584823214499613,201562,0.21346004971083207,12813,21533,33822,30712,102682,-1,-1,-1,-1,-1,-1,-1,-1
2,Shaun Donovan,6.307748704456204,23441,0.024824704186660256,2531,2291,3517,2989,12113,-1,-1,-1,-1,-1,-1,-1,-1
3,Scott M. Stringer,3.442607071381989,52140,0.055217784066058005,6443,6290,9451,7154,22802,-1,-1,-1,-1,-1,-1,-1,-1
4,Kathryn A. Garcia,5.4142391888561825,184935,0.19585157069920286,10308,18359,34535,30559,91174,-1,-1,-1,-1,-1,-1,-1,-1
5,Dianne Morales,5.2106933084085565,26780,0.02836080278651771,3356,2984,3869,3359,13212,-1,-1,-1,-1,-1,-1,-1,-1
6,Paperboy Love Prince,0.0,4067,0.004307071879490946,386,280,543,645,2213,-1,-1,-1,-1,-1,-1,-1,-1
7,Andrew Yang,4.9612846090855935,115670,0.1224979110648433,20697,17488,21661,11728,44096,-1,-1,-1,-1,-1,-1,-1,-1
8,Raymond J. McGuire,6.00795263516992,25507,0.027012658576389365,2333,3547,4082,3860,11685,-1,-1,-1,-1,-1,-1,-1,-1
9,Joycelyn Taylor,4.539006596358433,2768,0.0029313929093756916,539,272,309,277,1371,-1,-1,-1,-1,-1,-1,-1,-1
10,Art Chang,4.989089823096866,7198,0.007622892399453117,984,781,805,794,3834,-1,-1,-1,-1,-1,-1,-1,-1
11,Aaron S. Foldenauer,3.9401110353976545,7886,0.008351504509875977,2034,731,822,773,3526,-1,-1,-1,-1,-1,-1,-1,-1
12,Isaac Wright Jr.,12.0,2321,0.002458006843446886,487,269,257,205,1103,-1,-1,-1,-1,-1,-1,-1,-1
