,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16
0,LIBBY SCHAAF,7.365711289880495,30102,0.29426945861927384,3129,3299,23674,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,REBECCA KAPLAN,7.368085581467087,14758,0.14427043619371616,2491,2037,10230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,JOE TUMAN,7.368271438178669,12302,0.1202612078909809,1444,1353,9505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,DAN SIEGEL,7.364138592308294,13172,0.1287661055389368,1609,1605,9958,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,JEAN QUAN,7.379022350790913,15878,0.1552192699474065,3936,1779,10163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,COURTNEY RUBY,7.3452024905139215,3129,0.0305883042993724,303,302,2524,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,BRYAN PARKER,7.392841244829566,7993,0.07813752517254188,1401,905,5687,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,PETER LIU,7.392017051529199,468,0.004575048389934893,89,58,321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,PAT MCCULLOUGH,7.394994801487188,366,0.0035779224587952374,55,41,270,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,NANCY SIDEBOTHAM,0.0,270,0.002639450994193208,48,33,189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,KEN HOUSTON,7.390937574930085,523,0.005112714333196473,113,67,343,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,SAIED KARAMOOZ,7.399185546288438,270,0.002639450994193208,33,35,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,CHARLES R. WILLIAMS,7.388214120914755,1071,0.010469822276966391,262,148,661,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,ERIC WILSON,7.384470088052528,401,0.00392007351359806,65,64,272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,JASON ANDERSON,7.394496808187723,1557,0.015220834066514165,74,106,1377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,SAMMUEL WASHINGTON,15.0,34,0.0003323753103798854,16,4,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
