,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10
0,SHAWN DANINO,6.423363664406688,9987,0.06771949334128943,641,974,2146,1338,4888,-1,-1,-1,-1,-1
1,ROWENA BROWN,4.885148906496578,42506,0.2882231685155551,10461,8039,6884,4210,12912,-1,-1,-1,-1,-1
2,"CRISTINA ""TINA"" TOSTADO",9.0,5735,0.038887683419675065,1001,498,535,601,3100,-1,-1,-1,-1,-1
3,CHARLENE WANG,4.705484756106065,31057,0.21059019772708779,3561,5128,6170,3481,12717,-1,-1,-1,-1,-1
4,KANITHA MATOURY,4.649821865907738,5918,0.040128563291654235,901,750,1029,702,2536,-1,-1,-1,-1,-1
5,FABIAN ROBINSON,3.733212438821664,3103,0.02104071170902384,833,314,246,276,1434,-1,-1,-1,-1,-1
6,MINDY RUTH PECHENUK,0.0,5191,0.035198947625376335,765,580,604,506,2736,-1,-1,-1,-1,-1
7,LERONNE L. ARMSTRONG,4.37206719972106,39725,0.26936586292006837,9445,4581,11215,3444,11040,-1,-1,-1,-1,-1
8,SELIKA THOMAS,7.087125548332001,1637,0.011100111204534975,376,163,108,165,825,-1,-1,-1,-1,-1
9,NANCY SIDEBOTHAM,0.8797450165863956,2617,0.0177452602457349,707,343,323,248,996,-1,-1,-1,-1,-1
