,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10
0,SHENG THAO,3.221462336801974,40234,0.3154222459155195,5509,5546,12972,4317,11890,-1,-1,-1,-1,-1
1,LOREN MANUEL TAYLOR,4.303122506518532,41842,0.32802847376838407,6446,8273,10009,5001,12113,-1,-1,-1,-1,-1
2,JOHN REIMANN,7.760561435492615,1366,0.010709021919784251,236,148,210,189,583,-1,-1,-1,-1,-1
3,ALLYSSA VICTORY VILLANUEVA,5.0497656581372485,11151,0.08742042710652576,847,1077,4334,1338,3555,-1,-1,-1,-1,-1
4,TREVA D. REID,3.935815220320551,7828,0.06136912414939321,856,966,1423,1005,3578,-1,-1,-1,-1,-1
5,SENECA SCOTT,4.650772364000745,3891,0.030504249114114586,596,483,568,521,1723,-1,-1,-1,-1,-1
6,PETER Y. LIU,9.0,1092,0.008560945780676722,284,170,122,97,419,-1,-1,-1,-1,-1
7,IGNACIO DE LA FUENTE,3.397828546854356,13182,0.10334284549531186,2904,1865,2238,1321,4854,-1,-1,-1,-1,-1
8,GREGORY HODGE,4.711911133144116,6015,0.04715575903916711,685,729,1414,901,2286,-1,-1,-1,-1,-1
9,TYRON C. JORDAN,0.0,955,0.0074869077111229575,180,117,121,89,448,-1,-1,-1,-1,-1
