,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20,len_21
0,Rene.Gonzalez,5.523996550472566,55267,0.17830192635895253,13260,12043,12993,5907,3388,7676,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Mingus.Mapps,8.659796908746648,39679,0.12801205305149324,6635,7513,9088,5576,2709,8158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,Keith.Wilson,14.54100084305214,104389,0.33677890586941023,14276,19212,29166,18683,9814,13238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,Liv..Viva..Osthus,8.985953733736311,20188,0.06513035426809007,1887,2389,5203,3722,1935,5052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,Michael.Hayes,9.456613838859354,1760,0.005678097063197865,235,175,224,220,159,747,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,Josh.Leake,10.091317502579201,2340,0.007549288140842617,330,246,359,341,218,846,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,Carmen.Rubio,13.240527366651865,69215,0.2233008455847956,6837,9328,22180,14003,5639,11228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,Alexander.Landry.Neely,10.54103242201972,1863,0.006010394789055468,177,160,283,283,222,738,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,Sharon.Nasset,2.537694939536644,2149,0.0069330855618251214,390,242,267,204,173,873,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,James.Macdonald,12.475503646620565,1041,0.0033584653652210103,248,129,108,59,67,430,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,Shei.Meka..BeUtee..As.Salaam,9.059523661198895,1164,0.0037552869213422248,138,110,122,97,121,576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,Michael.O.Callaghan,6.1220733411869945,2033,0.006558847346296171,243,172,247,215,217,939,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,Durrell.Kinsey.Bey,3.4693285504622673,2685,0.008662324212889925,285,185,266,568,256,1125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,Dustin.Witherspoon,6.794223116085993,934,0.0030132628733106855,191,82,104,61,54,442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,Saadiq.Ali,5.062942825602496,862,0.0027809770843616817,154,73,75,43,56,461,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,Martin.Ward,19.485181134313894,2064,0.00665885928320477,610,268,207,144,99,736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,Michael.Necula,16.992531324635586,324,0.0010452860502705161,96,50,26,14,24,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,Uncertified.Write.In,14.44733349412785,634,0.0020454054193565037,354,56,31,41,25,127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,James.Atkinson.IV,20.0,571,0.0018421553540261257,102,52,57,59,51,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,Yao.Jun.He,0.0,801,0.0025841794020576648,163,38,41,32,68,459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,James.A.Zehren,6.4109464104701495,-1,-3.2261915131806054e-06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
