,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11
0,"Buxton, Catherine A.",2.0426718711321117,975,0.11103518961393918,18,42,100,326,150,102,69,29,17,47,75
1,"Chann, Marpheen S.",3.2914706581916238,1490,0.16968454617925066,70,129,151,455,194,132,78,42,26,103,110
2,"Sheikh-Yousef, Nasreen A.",1.8103836498763624,1958,0.22298143719394145,54,99,206,659,340,201,137,49,25,86,102
3,"Emerson, Anthony M.",0.5273134036930769,220,0.025054094066734995,15,16,15,67,36,17,14,9,3,11,17
4,"Washburn, Patricia J.",1.502520882213786,374,0.042591959913449495,6,6,29,158,61,29,23,14,4,15,29
5,"DiMillo, Steven A.",5.689746802700792,1849,0.21056827240633186,438,256,237,590,69,42,16,14,22,72,93
6,"Condrey, Lawson T.",0.0,178,0.020271039744903768,15,15,16,50,24,15,6,5,2,13,17
7,"Grant, Benjamin K.",3.671776758253359,1090,0.12413164787609611,65,76,118,325,135,95,84,29,17,79,67
8,"Bailey, William M.",6.131637367680072,421,0.04794442546407015,29,73,59,149,28,18,6,4,5,23,27
9,"Houseal, Ian P.",4.5668315421325705,207,0.023573624871882474,14,15,26,75,19,9,6,5,5,16,17
10,"Rovelto, Hope R.",10.0,19,0.0021637626693998407,2,1,3,2,1,-1,1,1,-1,1,7
