,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20,len_21,len_22,len_23,len_24,len_25,len_26,len_27,len_28,len_29
0,"Mancini, Kimberly A.",16.29105823500185,681,0.0764996629970793,115,118,164,65,36,21,162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,"Hang, Stacey L.",15.781581570722501,1232,0.13839586609750618,110,189,380,201,45,43,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,"Grant, Benjamin K.",15.781176607891739,2384,0.26780498764322624,228,1037,536,103,41,66,373,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,"Lentz, Sarah M.",17.30585769461887,3271,0.3674455178611548,129,1624,817,149,54,81,417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,"Albert, Stephanie G.",15.781673824268964,756,0.08492473601437879,72,132,194,79,32,38,209,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,"Schertz, Amber J.",16.29117904840014,342,0.038418332958885644,29,51,102,55,14,17,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,"Ward, Richard L.",16.290864280621605,222,0.024938216131206472,48,30,19,21,13,7,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,Ballot Style,21.381759368315862,1,0.00011233430689732644,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,SCHOOL BOARD AT LARGE,10.181790175388507,-1,-0.00011233430689732644,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,10002,20.36358035077701,-1,-0.00011233430689732644,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,10003,12.21814821046621,1,0.00011233430689732644,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
