,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14
0,"Haefele, Joshua W.",3.1186445031415264,416,0.21333333333333335,116,122,99,14,65,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,"Viola, Lou A.",3.117676024268139,182,0.09333333333333334,62,52,18,8,42,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,"Goglin, Barbara E.",3.1201534114451728,118,0.06051282051282051,51,22,15,1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,"Brydon, Sarah M.",4.152689748966492,945,0.4846153846153846,416,250,81,17,181,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,"Capone-Newton, Elizabeth",3.120553772602472,284,0.14564102564102563,66,105,35,13,65,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,"Capone-Newton, Elizabeth A.",12.479555446937912,-1,-0.0005128205128205128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,Ballot Style,6.239777723468952,1,0.0005128205128205128,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,SCHOOL BOARD DISTRICT 5,11.439592493026415,-1,-0.0005128205128205128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,20002,0.0,1,0.0005128205128205128,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,20003,7.2797406773804445,1,0.0005128205128205128,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,20004,13.0,1,0.0005128205128205128,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,20006,10.39962953911492,-1,-0.0005128205128205128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,20007,9.35966658520343,-1,-0.0005128205128205128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,20008,7.808948880389909,1,0.0005128205128205128,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
