,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20,len_21,len_22
0,Ross Mirkarimi,8.247839391066552,9947,0.2833176678344584,869,642,8436,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Michael E. O'connor,9.465947049205692,868,0.024723005497165967,125,76,667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,Julian Davis,12.466454336073387,418,0.011905779144948588,59,38,321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,Robert Haaland,8.555611822753706,5124,0.14594548406391525,591,406,4127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,Emmett Gilman,0.0,393,0.011193711014269846,56,30,307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,Lisa Feldstein,8.653253992596616,3257,0.09276823606482668,390,225,2642,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,Susan C. King,9.858409176855941,977,0.02782762254692529,116,68,793,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,Andrew Sullivan,7.483419616625392,2477,0.07055171038764989,243,295,1939,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,Brett Wheeler,6.322355620423025,832,0.02369762738898858,76,68,688,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,Bill Barnes,7.667125513256631,1664,0.04739525477797716,200,127,1337,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,Tys Sniffen,6.007253412214287,686,0.019539149505824718,96,57,533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,Phoenix Streets,5.413097774690105,657,0.018713150474237376,65,53,539,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,Dan Kalb,6.320815986025066,1398,0.03981884986755533,124,102,1172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,Nick Waugh,8.744326695237552,3025,0.08616024381212795,449,272,2304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,Rob Anderson,9.20935873533951,336,0.00957019567632231,46,11,279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,Phillip House,15.235065976948311,62,0.0017659289640832834,13,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,Joseph Blue,4.570549323522791,802,0.022843145632174086,175,65,562,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,Jim Siegel,8.370996803775197,1540,0.04386339684981059,141,143,1256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,Patrick M. Ciocca,8.00251927600537,91,0.0025919279956706258,12,5,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,H. Brown,12.170754486932832,57,0.0016235153379475348,8,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,Francis Somesel,8.138488640865472,368,0.010481642883591102,37,42,289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,Vivian Wilder,21.0,130,0.0037027542795294655,12,8,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
