,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13
0,Michael Patrick Mallen,8.481989053035603,975,0.030816397484117703,137,82,756,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Shawn Reifsteck,7.303940347731517,1108,0.03502007016656658,102,140,866,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,Art Belenson,0.0,510,0.01611934637630772,93,42,375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,Christine Linnenbach,5.84675493925131,6784,0.21441891336641486,839,1252,4693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,Sean R. Elsbernd,6.895356330635309,10505,0.3320269287904169,2035,1545,6925,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,David Parker,10.650017249532134,348,0.010999083409715857,35,30,283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,Gregory Corrales,8.802601329158943,2560,0.08091279749676032,428,255,1877,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,Milton `Rennie` O`Brien,7.208987845469281,2372,0.07497076393059199,311,238,1823,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,Svelana Kaff,4.086129669128675,546,0.017257182591105914,97,38,411,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,Isaac Wang,7.651509394592873,2728,0.08622269983248522,739,275,1714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,Pat Lakey,6.758713897028343,763,0.02411580644141724,125,86,552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,Sheela Kini,12.0,349,0.011030689971238029,43,27,279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,Vernon C. Grigg III,6.219214456450378,2091,0.06608932014286166,272,268,1551,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
