,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20,len_21
0,JAMES M. CALLOWAY,2.0471383282778803,429,0.023838630806845965,102,47,280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,DEWITT M. LACY,6.410491215517615,1301,0.07229384307623916,215,134,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,STEVE MOSS,6.2867787783569735,1984,0.11024672149366525,468,285,1231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,MARLENE TRAN,9.421184920912838,2054,0.11413647477217159,523,522,1009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,TERESA DUQUE,8.578442687076613,1452,0.08068459657701711,422,410,620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,ERIC SMITH,5.0650457714028665,459,0.025505667926205823,67,58,334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,KRISTINE ENEA,0.0,546,0.030340075572349412,86,60,400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,LYNETTE SWEET,7.1539961616672105,2182,0.12124916648144032,680,265,1237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,M.J. MARIE FRANKLIN,20.0,83,0.00461213603022894,10,9,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,MALIA COHEN,5.741035401697254,2125,0.1180817959546566,555,296,1274,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,CHRIS JACKSON,6.91287198756802,1104,0.06134696599244276,221,144,739,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,GEOFFREA MORRIS,2.1456552085465552,337,0.018726383640809068,110,41,186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,TONY KELLY,6.747163895838265,2109,0.117192709490998,331,248,1530,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,JACKIE NORMAN,7.822925153044581,195,0.010835741275839075,58,26,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,ELLSWORTH ''ELL'' JENNISON,13.951090100310157,71,0.003945321182484997,10,7,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,DIANE WESLEY SMITH,8.76008813583761,403,0.022393865303400755,102,58,243,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,"RODNEY HAMPTON, JR.",6.196526205679551,240,0.013336296954878863,58,17,165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,NYESE JOSHUA,10.598137443489343,137,0.007612802845076684,23,22,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,STEPHEN WEBER,8.631223206037962,319,0.017726161369193152,94,31,194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,ED DONALDSON,3.536501897626863,202,0.011224716603689708,47,15,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,ASHLEY H RHODES,10.959757781039096,264,0.014669926650366748,57,22,185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
