,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14
0,ELAINE ZAMORA,8.162659031880054,647,0.030504479019330503,170,57,420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,DEAN CLARK,7.839281451895307,608,0.028665723715228665,138,51,419,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,MATT DRAKE,1.4788340403882276,952,0.044884488448844885,204,157,591,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,JANE KIM,6.638806597282782,6660,0.314002828854314,2063,868,3729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,GEORGE DAVIS,5.83400379476976,166,0.007826496935407826,40,21,105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,FORTUNATE ''NATE'' PAYNE,3.6956003079884585,157,0.007402168788307402,32,16,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,JIM MEKO,0.0,413,0.019471947194719473,80,49,284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,DEBRA WALKER,9.263961778097988,5696,0.26855256954266854,1483,729,3484,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,THERESA SPARKS,6.423833539924742,3617,0.17053276756247054,1095,582,1940,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,H. BROWN,7.640389000383868,189,0.00891089108910891,38,27,124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,GEORGE VAZHAPPALLY,4.966142488985213,246,0.011598302687411598,42,32,172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,MATT ASHE,13.0,189,0.00891089108910891,29,17,143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,GLENDON ''ANNA CONDA'' HYDE,9.14873023828576,702,0.0330975954738331,112,71,519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,JAMES KEYS,7.14779637741607,968,0.04563884959924564,213,107,648,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
