,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15
0,MARK FARRELL,2.8577032559046347,72226,0.18472122762148338,9142,16138,26414,7025,2544,813,483,482,1405,7780,-1,-1,-1,-1,-1
1,DANIEL LURIE,4.1310709605678415,102824,0.2629769820971867,14842,24816,34644,10857,4212,1123,578,550,1689,9513,-1,-1,-1,-1,-1
2,LONDON BREED,5.719495603004118,95220,0.24352941176470588,23890,19493,27087,8836,3461,869,511,533,1665,8875,-1,-1,-1,-1,-1
3,JON SODERSTROM,3.99610436553107,452,0.001156010230179028,67,33,57,41,18,12,17,20,39,148,-1,-1,-1,-1,-1
4,AHSHA SAFAÍ ,4.796429066955739,11491,0.029388746803069053,1098,1943,3061,1711,937,220,115,156,330,1920,-1,-1,-1,-1,-1
5,AARON PESKIN,3.1230697289606355,89280,0.22833759590792838,21922,20806,22241,9717,3418,963,527,440,1433,7813,-1,-1,-1,-1,-1
6,HENRY FLYNN,4.981570071186215,1365,0.0034910485933503837,165,133,206,134,60,47,43,39,106,432,-1,-1,-1,-1,-1
7,KEITH FREEDMAN,3.866334401104838,2129,0.0054450127877237854,229,208,324,198,82,57,52,58,158,763,-1,-1,-1,-1,-1
8,DYLAN HIRSCH-SHELL,3.580849941346453,2941,0.007521739130434782,264,335,518,467,243,97,63,48,165,741,-1,-1,-1,-1,-1
9,ELLEN LEE ZHOU,6.833042517981346,8725,0.02231457800511509,1460,1249,1660,850,452,217,144,136,441,2116,-1,-1,-1,-1,-1
10,NELSON MEI,5.94016108377231,1842,0.004710997442455243,210,220,289,184,76,53,46,54,131,579,-1,-1,-1,-1,-1
11,PAUL YBARRA ROBERTSON,5.3844103750408365,858,0.002194373401534527,147,80,104,83,28,22,25,39,73,257,-1,-1,-1,-1,-1
12,SHAHRAM SHARIATI,8.16484572907412,1643,0.004202046035805627,143,176,269,184,96,61,45,40,115,514,-1,-1,-1,-1,-1
13,MARC ROTH,0.0,3,7.672634271099744e-06,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1
14,MICHAEL LIN,14.0,1,2.5575447570332483e-06,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
