,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12
0,Ahimsa Porter Sumchai,4.730574998082648,3450,0.023838972920308732,621,506,2323,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Wilma Pang,6.0992791500377725,7381,0.05100158235501413,2637,1509,3235,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,Harold M. Hoogasian,0.0,8517,0.05885116880065782,3917,1463,3137,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,Gavin Newsom,5.996207743398057,106402,0.7352215642512144,68544,11257,26601,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,Michael Powers,9.958977296006616,534,0.003689858417230395,118,53,363,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,Josh Wolf,5.854219849749348,1816,0.012548282557472654,319,243,1254,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,Grasshopper Alec Kaplan,7.245093969653655,1465,0.010122926182102114,291,163,1011,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,George Davis,8.370397520508789,666,0.004601958250703077,149,89,428,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,Lonnie S. Holmes,3.1759926997407852,1830,0.012645020418598545,487,292,1051,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,Quintin Mecke,5.249595998710154,9175,0.06339784827357467,1220,1306,6649,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,H. Brown,2.3267692003620266,929,0.006419248070425163,209,129,591,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,John Rinaldi,11.0,2556,0.017661569502698295,374,364,1818,-1,-1,-1,-1,-1,-1,-1,-1,-1
