,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16
0,JOHN AVALOS,0.0,37495,0.19253975834321835,3372,4225,29898,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,DENNIS HERRERA,2.112160368850235,21960,0.11276631799485465,2916,2603,16441,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,ED LEE,3.027311086477079,59822,0.3071906500495535,12999,6967,39856,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,LELAND YEE,1.5663418267305793,14650,0.07522889611223227,2639,1554,10457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,DAVID CHIU,2.8620533203102103,17952,0.0921849244373238,2008,1960,13984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,TERRY JOAN BAUM,0.6363932704832168,1672,0.008585850805437022,92,118,1462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,JOANNA REES,4.774764055819816,3118,0.016011173930234827,467,364,2287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,BEVAN DUFTY,2.525484665648972,9223,0.04736082654219237,1062,975,7186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,MICHELA ALIOTO-PIER,1.3581317141693368,6690,0.03435367337821392,1506,762,4422,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,JEFF ADACHI,3.806781728576008,12555,0.06447090721427141,1817,1379,9359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,PHIL TING,3.415493903885177,1022,0.00524804995404105,112,83,827,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,CESAR ASCARRUNZ,7.085737425963889,545,0.0027986176369396987,88,58,399,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,TONY HALL,4.527973732613708,6947,0.03567338848407355,1560,1210,4177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,WILMA PANG,4.194029167607931,448,0.0023005150483467614,61,46,341,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,EMIL LAWRENCE,5.231468707812393,388,0.001992410354371749,89,41,258,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,PAUL CURRIER,15.0,252,0.0012940397146950534,41,16,195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
