,candidate,position,first place count,first place freq,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10
0,SANDRA LEE FEWER,6.89909868256492,12590,0.39607386667505584,3590,2177,6823,-1,-1,-1,-1,-1,-1,-1
1,MARJAN PHILHOUR,7.02240911300798,11132,0.3502060590807563,2469,1856,6807,-1,-1,-1,-1,-1,-1,-1
2,DAVID LEE,5.486989557176572,3417,0.10749677541133168,508,435,2474,-1,-1,-1,-1,-1,-1,-1
3,SAMUEL KWONG,3.6182526648976228,750,0.023594551231635574,79,93,578,-1,-1,-1,-1,-1,-1,-1
4,RICHIE GREENBERG,4.7108993308869875,995,0.03130210463396986,175,107,713,-1,-1,-1,-1,-1,-1,-1
5,BRIAN J. LARKIN,5.533426275572065,751,0.023626010633277756,77,78,596,-1,-1,-1,-1,-1,-1,-1
6,ANDY THORNLEY,8.526484477612858,361,0.011356843992827256,33,64,264,-1,-1,-1,-1,-1,-1,-1
7,JASON JUNGREIS,9.0,613,0.01928461320665681,57,57,499,-1,-1,-1,-1,-1,-1,-1
8,JONATHAN LYENS,6.243424223390151,618,0.019441910214867714,56,75,487,-1,-1,-1,-1,-1,-1,-1
9,SHERMAN R. D'SILVA,0.0,560,0.01761726491962123,87,47,426,-1,-1,-1,-1,-1,-1,-1
