filename,#candidates,choices,null_gamma,permissive_gamma,strict_gamma
Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES.csv,8,5.0,0.1785,0.670398136,0.48774187
Alaska_08162022_HouseofRepresentativesSpecial.csv,3,4.0,0.8616,0.96684176,0.9553301
Alaska_11082022_GovernorLieutenantGovernor.csv,4,5.0,0.6054,0.880670776,0.814704881
Alaska_11082022_HouseDistrict1.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict10.csv,3,4.0,0.889,0.936001177,0.907753421
Alaska_11082022_HouseDistrict11.csv,3,4.0,0.889,0.947909884,0.928896992
Alaska_11082022_HouseDistrict12.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict13.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict14.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict15.csv,3,4.0,0.8675,0.955570839,0.937964237
Alaska_11082022_HouseDistrict16.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict17.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict18.csv,3,4.0,0.8833,0.942897593,0.930155734
Alaska_11082022_HouseDistrict19.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict2.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict20.csv,4,5.0,0.602897103,0.853639083,0.800398804
Alaska_11082022_HouseDistrict21.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict22.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict23.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict24.csv,3,4.0,0.8722,0.9616,0.928133333
Alaska_11082022_HouseDistrict25.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict26.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict27.csv,3,4.0,0.868231768,0.896064401,0.86332737
Alaska_11082022_HouseDistrict28.csv,4,5.0,0.595404595,0.799529886,0.670080591
Alaska_11082022_HouseDistrict29.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict30.csv,3,4.0,0.874425574,0.97451553,0.940005309
Alaska_11082022_HouseDistrict31.csv,3,4.0,0.878921079,0.917602996,0.897693672
Alaska_11082022_HouseDistrict32.csv,3,4.0,0.8867,0.915222187,0.883075953
Alaska_11082022_HouseDistrict34.csv,3,4.0,0.8937,0.929268293,0.895799458
Alaska_11082022_HouseDistrict35.csv,4,5.0,0.649149149,0.907107482,0.829340115
Alaska_11082022_HouseDistrict36.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict39.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict4.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict5.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict6.csv,3,4.0,0.8851,0.941182649,0.88257536
Alaska_11082022_HouseDistrict7.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_HouseDistrict9.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_SenateDistrictA.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_SenateDistrictC.csv,3,4.0,0.8709,0.945124133,0.927595335
Alaska_11082022_SenateDistrictD.csv,3,4.0,0.8818,0.940797264,0.894290225
Alaska_11082022_SenateDistrictE.csv,3,4.0,0.868568569,0.974685817,0.960562537
Alaska_11082022_SenateDistrictF.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_SenateDistrictG.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_SenateDistrictH.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_SenateDistrictI.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_SenateDistrictJ.csv,3,4.0,0.8879,0.950057803,0.93283237
Alaska_11082022_SenateDistrictK.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_SenateDistrictL.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_SenateDistrictM.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_SenateDistrictN.csv,3,4.0,0.8732,0.870596382,0.826452004
Alaska_11082022_SenateDistrictO.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_SenateDistrictP.csv,3,4.0,0.8866,0.886455606,0.81290169
Alaska_11082022_SenateDistrictQ.csv,3,4.0,0.863,0.908888034,0.859022701
Alaska_11082022_SenateDistrictR.csv,3,4.0,0.8813,0.910315127,0.865541049
Alaska_11082022_SenateDistrictS.csv,2,3.0,1.0,1.0,1.0
Alaska_11082022_USRepresentative.csv,4,5.0,0.605205205,0.859503789,0.753279641
Alaska_11082022_USSenator.csv,4,5.0,0.598501499,0.894756216,0.831821701
Albany_11082022_BoardofEducation.csv,4,5.0,0.5908,0.687105223,0.593128948
Albany_11082022_CityCouncil.csv,5,5.0,0.3396,0.420241566,0.291406358
Berkeley_03072017_CityCouncilDistrict4.csv,2,3.0,1.0,1.0,1.0
Berkeley_11022010_CityCouncilDistrict1.csv,4,3.0,0.8775,0.90872318,0.787372494
Berkeley_11022010_CityCouncilDistrict4.csv,4,3.0,0.8508,0.862881178,0.665615142
Berkeley_11022010_CityCouncilDistrict7.csv,3,3.0,0.8877,0.749100504,0.684096906
Berkeley_11022010_CityCouncilDistrict8.csv,3,3.0,0.8749,0.818518519,0.748583878
Berkeley_11032020_MayorBerkeleyRCV.csv,4,5.0,0.6247,0.838578089,0.783319622
Berkeley_11032020_MemberCityCouncilDist2BerkeleyRCV.csv,4,5.0,0.594305694,0.778129952,0.693770572
Berkeley_11032020_MemberCityCouncilDist3BerkeleyRCV.csv,3,5.0,0.8904,0.905398391,0.888917726
Berkeley_11032020_MemberCityCouncilDist5BerkeleyRCV.csv,3,5.0,0.874774775,0.89278227,0.833083758
Berkeley_11032020_MemberCityCouncilDist6BerkeleyRCV.csv,2,5.0,1.0,1.0,1.0
Berkeley_11042014_CityCouncilDistrict1.csv,3,3.0,0.913813814,0.938969664,0.906300485
Berkeley_11042014_CityCouncilDistrict7.csv,2,3.0,1.0,1.0,1.0
Berkeley_11042014_CityCouncilDistrict8.csv,4,3.0,0.803096903,0.801457597,0.542402827
Berkeley_11062012_CityCouncilDistrict2.csv,3,3.0,0.868431568,0.91354616,0.889732528
Berkeley_11062012_CityCouncilDistrict3.csv,2,3.0,1.0,1.0,1.0
Berkeley_11062012_CityCouncilDistrict5.csv,2,3.0,1.0,1.0,1.0
Berkeley_11062012_CityCouncilDistrict6.csv,2,3.0,1.0,1.0,1.0
Berkeley_11062012_Mayor.csv,7,3.0,0.791391391,0.855513881,0.489398194
Berkeley_11062018_CityAuditor.csv,2,3.0,1.0,1.0,1.0
Berkeley_11062018_CityCouncilDistrict1.csv,4,3.0,0.8624,0.859604663,0.682970096
Berkeley_11062018_CityCouncilDistrict4.csv,3,3.0,0.8921,0.894055434,0.854485777
Berkeley_11062018_CityCouncilDistrict7.csv,3,3.0,0.913686314,0.930703625,0.912224591
