unnamed02,unnamed01,unnamed0,filename,diff,linearvotersfailure,gamma,mirror,candidates,level,partisan,type,irv1,irv2,condorcet1,plurality1,approval1irv2,condorcet2,plurality2,approval2,approval1,polarization,median_voter_distance,median_voter_preference_distance,bimodality,partisan2,State,Date,ElectionType
0,0,0,Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES.csv,[],no,0.67039812,,8,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,0.24324325,0.0,0.0,0.24692224,,Alaska,04102020,PRESIDENTOFTHEUNITEDSTATES
1,1,1,Alaska_08162022_HouseofRepresentativesSpecial.csv,[],no,0.96684176,,3,FEDERAL,YES,R,"Peltola, Mary S.","Peltola, Mary S.","Begich, Nick","Peltola, Mary S.",,"Begich, Nick","Peltola, Mary S.","Begich, Nick","Begich, Nick",0.97797799,0.44353577,0.58504355,3.5239146,1.0,Alaska,08162022,HouseofRepresentativesSpecial
2,2,2,Alaska_11082022_GovernorLieutenantGovernor.csv,[],no,0.88067079,,4,STATE,YES,E,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,0.95295298,0.13172564,0.23858598,1.7966225,1.0,Alaska,11082022,GovernorLieutenantGovernor
3,3,3,Alaska_11082022_HouseDistrict1.csv,[],no,1.0,,2,STATE,YES,R,"Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""",,"Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""",0.996997,0.41585127,0.0,,1.0,Alaska,11082022,HouseDistrict1
4,4,4,Alaska_11082022_HouseDistrict10.csv,[],no,0.93600118,,3,STATE,YES,R,"Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.",,"Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.",0.990991,0.19891217,0.0,3.0635979,1.0,Alaska,11082022,HouseDistrict10
5,5,5,Alaska_11082022_HouseDistrict11.csv,[],no,0.94790989,YES,3,STATE,YES,R,"Coulombe, Julie","Coulombe, Julie","Coulombe, Julie","Featherly, Walter T.",,"Coulombe, Julie","Featherly, Walter T.","Coulombe, Julie","Coulombe, Julie",0.62362361,0.28694314,0.0,2.6132936,1.0,Alaska,11082022,HouseDistrict11
6,6,6,Alaska_11082022_HouseDistrict12.csv,[],no,1.0,,2,STATE,YES,R,"Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.",,"Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.","Schrage, Calvin R.",0.996997,0.21355186,0.0,,1.0,Alaska,11082022,HouseDistrict12
7,7,7,Alaska_11082022_HouseDistrict13.csv,[],no,1.0,,2,STATE,YES,R,"Josephson, Andy","Josephson, Andy","Josephson, Andy","Josephson, Andy",,"Josephson, Andy","Josephson, Andy","Josephson, Andy","Josephson, Andy",0.996997,0.40932313,0.0,,1.0,Alaska,11082022,HouseDistrict13
8,8,8,Alaska_11082022_HouseDistrict14.csv,[],no,1.0,,2,STATE,YES,R,"Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.",,"Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.","Galvin, Alyse S.",0.997998,0.0,0.0,,1.0,Alaska,11082022,HouseDistrict14
9,9,9,Alaska_11082022_HouseDistrict15.csv,[],no,0.95557082,,3,STATE,YES,R,"McKay, Thomas W. ""Tom""","McKay, Thomas W. ""Tom""","McKay, Thomas W. ""Tom""","Wells, Denny",,"McKay, Thomas W. ""Tom""","Wells, Denny","McKay, Thomas W. ""Tom""","McKay, Thomas W. ""Tom""",0.98198199,0.51595747,0.39689454,2.6860263,1.0,Alaska,11082022,HouseDistrict15
