type of election,N,%_complete,%_bullet,%_truncated,gamma,avg. candidates,%_exhausted,first_round_majority,complete_gamma,enough_choices
all elections,361,0.366537015,34.30334388,,0.81740493,5.573407202,0.104294143,132,0.536824308,255
federal/state,57,0.270491436,46.69480873,,0.884370463,4,0.074052009,25,0.637700538,52
local,304,0.39126162,31.97994422,,0.804848893,5.868421053,0.109206571,107,0.51085617,203
partisan,52,0.233626138,50.66568195,,0.905509385,4.673076923,0.089964806,23,0.630506768,50
non-partisan,244,0.410157302,31.33609107,,0.826499083,5.475409836,0.098366402,92,0.546921109,169
primary,65,0.347574117,32.35208396,,0.712783317,6.661538462,0.131722629,17,0.359591374,36
general,296,0.369668503,34.73183001,,0.840379271,5.334459459,0.09702029,115,0.566092132,219
3 candidate races,125,0.390107487,40.96246619,,0.899490993,3,0.061548437,70,0.739124713,125
4 candidate races,83,0.383830811,36.13646064,,0.847514246,4,0.071463853,33,0.47487142,83
5 candidate races,42,0.330493055,29.36979071,,0.759198436,5,0.08852417,10,0.177517826,21
6 candidate races,27,0.210082891,30.5294673,,0.758079579,6,0.106452928,5,0.057919058,15
7 candidate races,24,0.283034988,24.20996938,,0.696965938,7,0.13280227,3,0.016150814,8
8 candidate races,16,0.108970914,30.91598535,,0.746839107,8,0.145026976,3,0.000108392,1
