Unnamed: 0,filename,candidates,choices,gamma,og_irv,og_condorcet,og_plurality,Bvote_free_irv,Bvote_free_condorcet,Bvote_free_plurality,Tvote_free_irv,Tvote_free_condorcet,Tvote_free_plurality,bullet_votes,voluntarily_truncated_votes,total_votes,level,gamma_complete,complete_ballots_count
0,Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES.csv,8,5,0.67039812,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,,,,3922,,19742,FEDERAL,,
1,Alaska_08162022_HouseofRepresentativesSpecial.csv,3,4,0.96684176,"Peltola, Mary S.","Begich, Nick","Peltola, Mary S.","Begich, Nick","Begich, Nick","Peltola, Mary S.","Begich, Nick","Begich, Nick","Peltola, Mary S.",56054,133333.0,188852,FEDERAL,0.887209784037897,55519.0
2,Alaska_11052024_President.csv,8,8,0.833382548,Trump/Vance,Trump/Vance,Trump/Vance,Harris/Walz,Harris/Walz,Harris/Walz,Harris/Walz,Harris/Walz,Harris/Walz,228278,301747.0,338650,FEDERAL,0.0001083922716310327,36903.0
3,Alaska_11052024_StateHouseD1.csv,3,4,0.953815999,"Bynum, Jeremy T.","Bynum, Jeremy T.","Bynum, Jeremy T.","Moran, Agnes C.","Moran, Agnes C.","Moran, Agnes C.","Echohawk, Grant","Moran, Agnes C.","Bynum, Jeremy T.",5310,6769.0,8163,STATE,0.7295552367288379,1394.0
4,Alaska_11052024_StateHouseD15.csv,3,4,0.982539683,"Costello, Mia","Costello, Mia","Costello, Mia","Wells, Denny","Wells, Denny","Wells, Denny","Wells, Denny","Wells, Denny","Wells, Denny",6237,7576.0,8820,STATE,0.8762057877813505,1244.0
5,Alaska_11052024_StateHouseD19.csv,3,4,0.962251201,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.",3242,3641.0,4371,STATE,0.773972602739726,730.0
6,Alaska_11052024_StateHouseD28.csv,3,4,0.923106746,"Moore, Elexie","Moore, Elexie","Moore, Elexie","Menard, Steve","Menard, Steve","Moore, Elexie","Menard, Steve","Menard, Steve","Menard, Steve",5142,5857.0,7738,STATE,0.68367889420521,1881.0
7,Alaska_11052024_StateHouseD36.csv,4,5,0.906753131,"Schwanke, Rebecca A.","Schwanke, Rebecca A.","Schwanke, Rebecca A.","Schwanke, Rebecca A.","Schwanke, Rebecca A.","Schwanke, Rebecca A.","Kowalski, Brandon P. ""Putuuqti""","Kowalski, Brandon P. ""Putuuqti""","Kowalski, Brandon P. ""Putuuqti""",5683,7865.0,8944,STATE,0.37256719184430026,1079.0
8,Alaska_11052024_StateHouseD38.csv,4,5,0.80964256,"Jimmie, Nellie D. ""Unangik""","Jimmie, Nellie D. ""Unangik""","Jimmie, Nellie D. ""Unangik""","Jimmie, Nellie D. ""Unangik""","Jimmie, Nellie D. ""Unangik""","Jimmie, Nellie D. ""Unangik""","Jimmie, Nellie D. ""Unangik""","Jimmie, Nellie D. ""Unangik""","Jimmie, Nellie D. ""Unangik""",1819,2462.0,3609,STATE,0.4664341761115955,1147.0
9,Alaska_11052024_StateHouseD40.csv,3,4,0.887471377,"Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""",1751,2009.0,3057,STATE,0.6717557251908397,1048.0
10,Alaska_11052024_StateHouseD6.csv,3,4,0.972234387,"Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Johnson, Brent","Johnson, Brent","Johnson, Brent","Johnson, Brent","Johnson, Brent","Johnson, Brent",8076,10173.0,11417,STATE,0.7451768488745981,1244.0
11,Alaska_11052024_StateSenateD.csv,3,4,0.981481481,"Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.",13048,16994.0,19332,STATE,0.8468776732249786,2338.0
12,Alaska_11052024_StateSenateF.csv,3,4,0.960321653,"Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Park, Janice L.","Park, Janice L.","Park, Janice L.",11785,14564.0,17037,STATE,0.7266477961989486,2473.0
13,Alaska_11052024_StateSenateL.csv,3,4,0.98032502,"Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.",12573,16805.0,19568,STATE,0.8606587043069128,2763.0
14,Alaska_11052024_StateSenateN.csv,3,4,0.929512559,"Yundt, Robert","Yundt, Robert","Yundt, Robert","Yundt, Robert","Yundt, Robert","Yundt, Robert","Yundt, Robert","Yundt, Robert","Yundt, Robert",10272,11757.0,15407,STATE,0.7024657534246576,3650.0
15,Alaska_11052024_StateSenateR.csv,3,4,0.953318987,"Cronk, Mike","Cronk, Mike","Cronk, Mike","Fletcher, Savannah","Fletcher, Savannah","Fletcher, Savannah","Fletcher, Savannah","Fletcher, Savannah","Fletcher, Savannah",13088,15310.0,18123,STATE,0.6992534660504799,2813.0
16,Alaska_11052024_US_House.csv,4,5,0.919223552,"Begich, Nick","Begich, Nick","Begich, Nick","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.",219838,286400.0,329861,FEDERAL,0.4970433262005016,43461.0
17,Alaska_11082022_GovernorLieutenantGovernor.csv,4,5,0.88067079,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Walker/Drygas,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Walker/Drygas,Dunleavy/Dahlstrom,87901,216478.0,264470,STATE,0.4195699283213869,47992.0
18,Alaska_11082022_HouseDistrict10.csv,3,4,0.93600118,"Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.","Storm, Caroline","Storm, Caroline","Storm, Caroline","Storm, Caroline","Storm, Caroline","Storm, Caroline",4047,5414.0,6797,STATE,0.6854663774403471,1383.0
19,Alaska_11082022_HouseDistrict11.csv,3,4,0.94790989,"Coulombe, Julie","Coulombe, Julie","Featherly, Walter T.","Coulombe, Julie","Coulombe, Julie","Coulombe, Julie","Featherly, Walter T.","Featherly, Walter T.","Featherly, Walter T.",3961,6146.0,7679,STATE,0.7390737116764514,1533.0
20,Alaska_11082022_HouseDistrict15.csv,3,4,0.95557082,"McKay, Thomas W. ""Tom""","McKay, Thomas W. ""Tom""","Wells, Denny","McKay, Thomas W. ""Tom""","McKay, Thomas W. ""Tom""","McKay, Thomas W. ""Tom""","Wells, Denny","Wells, Denny","Wells, Denny",3681,5785.0,7270,STATE,0.7824915824915825,1485.0
21,Alaska_11082022_HouseDistrict18.csv,3,4,0.94289762,"Groh, Cliff","Groh, Cliff","Nelson, David","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff",980,1559.0,2119,STATE,0.7839285714285714,560.0
22,Alaska_11082022_HouseDistrict20.csv,4,5,0.85363907,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.",-1,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.",2319,4046.0,5015,STATE,0.36945304437564497,969.0
23,Alaska_11082022_HouseDistrict24.csv,3,4,0.96160001,"Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan",3125,6050.0,7500,STATE,0.8013793103448276,1450.0
24,Alaska_11082022_HouseDistrict27.csv,3,4,0.8960644,"Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David",2494,3407.0,5590,STATE,0.733852496564361,2183.0
25,Alaska_11082022_HouseDistrict28.csv,4,5,0.79952991,"Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Menard, Steve",2419,4101.0,5956,STATE,0.4339622641509434,1855.0
